new_confirmed,new_deaths
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
4,0
2,0
9,0
6,0
0,0
4,0
14,0
45,0
7,0
37,0
19,0
121,0
46,1
185,2
119,4
233,4
206,1
198,0
247,1
259,3
734,42
397,16
484,16
296,6
312,10
578,57
1156,36
1096,43
1170,40
1105,81
1113,78
1091,51
830,74
1818,121
2153,134
1908,132
1756,115
1059,67
1472,96
1390,112
1922,208
3224,202
2108,190
3277,220
2753,201
1868,115
1851,108
2760,171
2761,169
3866,407
2913,368
5081,356
4898,227
4201,305
6213,485
6097,442
7386,446
5452,456
4983,371
4216,261
6914,308
7136,530
9865,564
10763,793
9644,676
10828,756
6195,476
6260,483
9553,844
11572,778
14001,789
15164,912
14066,719
7659,499
14160,719
13191,987
21331,1143
19226,1052
21962,1037
18136,1048
14269,667
12788,721
16101,1046
20211,1057
28080,1170
26707,1133
32394,890
13118,471
14991,738
31516,1366
25668,1190
31622,1470
31708,1099
23842,801
18048,474
17433,861
30443,1178
33982,1240
27857,1206
25310,901
20601,855
17306,635
23925,719
36616,1372
30669,1180
24227,1232
54241,1171
30269,980
16830,602
26139,731
38959,1400
41048,1098
41338,1177
43985,979
36277,997
32773,630
21872,728
37794,1316
45673,1055
45355,1278
41884,1201
31832,1010
28362,596
23746,665
45756,1313
44858,1170
42942,1222
43961,1298
33938,920
24942,622
22372,804
39695,1325
41393,1256
43864,1316
34654,1121
23429,828
25192,713
23035,767
45394,1308
64137,1293
57732,1309
56576,1136
46214,1083
23079,583
29541,680
51664,1225
54901,1211
57633,1199
49717,1202
41724,900
22043,498
25747,721
52353,1182
51765,1237
59002,1490
47804,1023
44212,816
19939,458
33110,968
44914,1147
54325,1129
58519,1233
47092,970
33338,592
20313,483
28664,935
43269,1288
47935,1143
39467,1192
34787,1037
39185,732
16579,387
26545,794
47884,1166
46158,1057
37977,885
42774,870
29736,515
17921,578
53825,763
41062,1118
44323,1168
45117,891
38705,830
29358,583
11716,267
14443,447
18576,499
34732,1138
39222,934
39592,827
25749,661
12486,311
24171,588
32239,1065
35729,923
31473,765
41298,882
26084,580
13447,273
20700,585
30879,732
33136,943
30783,780
30953,796
20913,576
11836,284
20558,538
30674,832
31671,854
34872,861
31417,629
19076,504
6693,223
28335,478
28314,817
26624,590
31753,903
26797,635
20341,449
9942,201
12097,296
11781,331
28105,753
29167,775
21101,431
20342,481
14813,264
20192,410
22181,633
25169,555
23541,497
28379,551
23170,333
10311,155
21991,401
27955,502
27996,499
26061,537
20133,467
11561,264
9653,174
8162,169
18405,406
23443,603
20726,574
20571,269
14953,208
10259,201
14814,147
46198,218
22418,546
33207,857
36831,559
25418,640
12666,142
18735,342
34363,673
33310,747
34998,637
118305,2258
35772,410
17806,140
20228,402
31434,586
47816,700
41276,705
30118,493
51430,583
23726,249
23897,352
50695,683
48009,677
50133,761
46993,675
40496,643
26310,339
27191,423
46589,793
53557,853
52313,755
46592,591
46190,717
19633,255
32308,579
41978,831
70011,1033
68449,1058
53401,813
45942,645
27293,426
27188,550
55075,955
46566,987
58132,754
21399,469
17917,305
16576,320
27243,535
54829,1042
43357,939
66911,1309
19439,408
19350,350
15918,297
25853,604
55906,1162
61063,1250
88875,1503
59225,1076
50995,1003
29182,486
30479,473
61186,1140
60586,1244
63354,943
65215,1002
53111,1141
28910,471
41848,740
59548,1128
66701,1447
59652,1342
54608,1052
57357,1120
28377,583
34479,731
60315,1154
64301,1331
60669,1430
59193,1087
49734,1137
27629,554
32457,674
54553,1253
54336,1187
54388,1217
46833,1183
43177,889
29817,523
35617,842
41509,1192
60342,1332
43501,1192
52096,1324
59540,1273
31813,667
24320,607
65667,1088
46903,1183
46581,1244
58884,1509
47524,927
34801,700
29543,659
56000,1235
73202,1604
67641,1569
61236,1263
59605,1319
32596,717
40329,835
60630,1753
70403,1809
74897,1786
63966,1566
58490,1319
100780,1435
36706,1115
69621,1948
94798,2373
73482,2126
82222,2101
73789,1991
42262,1023
44667,1306
83508,2889
89029,2654
84611,2640
90470,2713
74777,2385
45124,1101
52523,1351
90306,3557
89940,2289
91375,2429
70962,3356
98233,3755
46402,1571
39327,1887
80287,3475
97264,4213
87196,3602
57283,2281
31864,1509
32215,1270
61836,2783
64717,3581
81423,3511
70256,3500
83581,3515
54203,1991
34559,1474
37231,1614
74030,3684
63310,2953
61179,3010
68045,2516
56000,2693
45119,1300
34258,1583
60666,3031
207691,8208
43288,1623
63919,2931
35843,1379
46630,1899
57736,2694
67740,2919
81892,3123
70459,3049
71757,2833
33909,1110
43503,1808
36793,1096
80940,3565
68449,2598
80780,2703
68595,2042
69690,2215
33427,912
35908,1107
68822,2239
75926,2541
79575,2301
76402,2154
59967,1748
27463,608
55075,1802
73609,2448
79342,2495
79086,2352
79585,2249
67825,1726
37149,885
36246,852
70807,2161
78316,2424
63753,2059
53165,2282
64909,1928
47779,912
36942,1023
57671,1452
112985,3305
74611,1870
43295,1177
59694,1652
60158,1201
40210,1130
56210,2686
82593,2384
92300,2489
84185,2147
65546,1921
48307,1182
37414,922
90287,2772
85959,2686
57068,1611
112112,3111
80294,2230
38313,826
45753,937
115904,2066
65341,1820
69826,1866
67155,1741
50140,1287
30627,562
30023,671
38153,1041
58112,2589
46366,1527
62981,1896
48092,1397
23743,591
26590,744
49797,1642
49601,1425
48143,1519
51366,1306
35957,937
19174,435
18199,747
40625,1614
45101,1289
42945,1347
43370,1335
39714,1030
18503,453
15418,648
26642,1347
45582,1121
45513,1347
94109,1089
20707,533
28844,730
16059,491
38118,1219
25886,732
25697,907
56338,1444
32780,943
13166,273
14923,446
32826,1164
30956,832
25723,713
44435,997
23345,543
8360,239
30400,933
28481,1167
27962,822
28115,847
47467,1192
22760,750
15231,338
19067,460
34994,1043
34901,795
29044,844
27525,737
17032,424
10991,237
24653,577
31043,957
23210,700
25299,786
21655,653
11668,343
18984,398
11425,269
24671,851
23068,628
22753,691
356443,9207
8656,188
12753,316
8327,203
12085,229
9850,193
10482,542
10538,400
4893,143
7548,396
31161,766
11736,417
35544,1985
18514,521
16173,389
13474,220
54511,602
8888,257
9477,432
29563,506
10746,368
10773,439
6779,156
4902,113
6489,123
13642,759
9446,416
9485,205
10040,426
148181,2244
6464,123
6813,115
24696,515
9877,212
8125,145
9903,187
4978,95
6433,106
3851,120
22703,974
5367,110
10025,393
7076,276
5542,147
3863,61
8256,219
10811,310
9834,280
10960,268
8706,268
4287,129
3901,93
8281,228
8931,244
10032,166
5976,199
7044,237
5156,100
2146,36
2065,46
3413,57
6761,260
5131,158
2733,57
4371,60
9812,486
3601,39
5509,97
7303,113
10881,136
6441,92
2152,72
1260,19
3382,53
4107,72
6271,124
15072,850
4824,97
2866,49
1556,44
2833,65
13215,381
6856,141
5524,83
1807,45
1591,44
3019,26
1852,37
2544,58
10646,170
2787,39
3130,49
1738,24
1232,17
11655,748
2235,34
2489,33
3214,70
1772,31
579,22
351,4
7046,83
1474,48
858,39
823,45
818,41
582,10
475,18
448,18
6313,107
542,21
577,24
440,17
1652,18
707,12
4501,31
2493,53
2979,28
3387,15
2666,8
144,2
1404,11
1892,18
3526,23
11609,65
19769,20
14707,71
13263,15
5478,13
7359,52
28309,36
24209,20
29659,74
29941,36
5695,11
3959,31
26483,43
28466,59
41571,51
39066,43
37992,66
15439,30
9821,33
52364,92
52710,104
49382,119
51348,116
56274,107
35861,71
34531,174
26620,122
32002,184
41343,136
69221,123
48117,158
31359,122
13708,92
22024,112
40081,219
41328,183
36623,128
32874,157
30378,129
13437,106
16780,120
32942,190
81500,404
28617,167
20481,103
14938,59
3502,52
9629,76
21061,120
34379,231
14465,114
11433,90
10467,84
653,25
1274,22
2781,34
12387,84
10468,103
20787,231
9134,71
2286,20
3596,36
8570,73
7181,74
14813,129
6077,46
7798,29
2066,22
2053,25
5831,40
694,9
9365,80
3407,24
314,2
7412,37
1328,9
4331,38
8259,12
4224,23
21,1
4,1
0,0
